datetime,N_PM25,LC_PM25
2018-11-29 06:00:00+00:00,10.7,7.5714287757873535
2018-11-29 07:00:00+00:00,9.9,8.714285850524902
2018-11-29 08:00:00+00:00,9.9,9.14285659790039
2018-11-29 09:00:00+00:00,10.7,11.571428298950195
2018-11-29 10:00:00+00:00,10.4,18.71428680419922
2018-11-29 11:00:00+00:00,10.0,17.428571701049805
2018-11-29 12:00:00+00:00,9.6,15.28571319580078
2018-11-29 13:00:00+00:00,9.1,16.28571319580078
2018-11-29 14:00:00+00:00,8.2,16.571426391601562
2018-11-29 15:00:00+00:00,8.4,13.14285659790039
2018-11-29 16:00:00+00:00,9.6,13.285715103149414
2018-11-29 17:00:00+00:00,8.9,13.571428298950195
2018-11-29 18:00:00+00:00,9.6,12.714285850524902
2018-11-29 19:00:00+00:00,9.3,9.714285850524902
2018-11-29 20:00:00+00:00,9.1,9.857142448425291
2018-11-29 21:00:00+00:00,8.8,38.999996185302734
2018-11-29 22:00:00+00:00,8.1,8.714285850524902
2018-11-29 23:00:00+00:00,7.6,11.000000953674316
2018-11-30 00:00:00+00:00,7.5,11.285714149475098
2018-11-30 01:00:00+00:00,7.5,12.85714340209961
2018-11-30 02:00:00+00:00,7.0,12.0
2018-11-30 03:00:00+00:00,6.5,11.428571701049805
2018-11-30 04:00:00+00:00,6.9,10.428571701049805
2018-11-30 05:00:00+00:00,7.9,10.142857551574709
2018-11-30 06:00:00+00:00,8.9,11.571428298950195
2018-11-30 07:00:00+00:00,10.9,9.857142448425291
2018-11-30 08:00:00+00:00,9.7,10.14285659790039
2018-11-30 09:00:00+00:00,11.3,7.857142925262451
2018-11-30 10:00:00+00:00,12.1,9.0
2018-11-30 11:00:00+00:00,10.5,10.428571701049805
2018-11-30 12:00:00+00:00,10.5,18.571428298950195
2018-11-30 13:00:00+00:00,8.9,13.428571701049805
2018-11-30 14:00:00+00:00,8.9,16.285715103149414
2018-11-30 15:00:00+00:00,9.4,15.571428298950195
2018-11-30 16:00:00+00:00,9.7,14.428570747375488
2018-11-30 17:00:00+00:00,10.9,15.428571701049805
2018-11-30 18:00:00+00:00,11.7,10.142857551574709
2018-11-30 19:00:00+00:00,11.2,10.14285659790039
2018-11-30 20:00:00+00:00,10.7,13.14285659790039
2018-11-30 21:00:00+00:00,10.4,13.571429252624512
2018-11-30 22:00:00+00:00,9.0,15.142857551574709
2018-11-30 23:00:00+00:00,8.9,14.714284896850586
2018-12-01 00:00:00+00:00,10.0,15.28571319580078
2018-12-01 01:00:00+00:00,8.0,17.571430206298828
2018-12-01 02:00:00+00:00,6.9,17.0
2018-12-01 03:00:00+00:00,6.1,13.999999046325684
2018-12-01 04:00:00+00:00,6.0,11.714285850524902
2018-12-01 05:00:00+00:00,6.8,12.571428298950195
2018-12-01 06:00:00+00:00,9.1,11.285715103149414
2018-12-01 07:00:00+00:00,12.4,8.0
2018-12-01 08:00:00+00:00,15.3,6.000000476837158
2018-12-01 09:00:00+00:00,13.5,4.285714626312256
2018-12-01 10:00:00+00:00,11.5,7.285714626312256
2018-12-01 11:00:00+00:00,9.5,10.0
2018-12-01 12:00:00+00:00,9.6,13.428570747375488
2018-12-01 13:00:00+00:00,10.3,20.28571510314941
2018-12-01 14:00:00+00:00,10.0,12.0
2018-12-01 15:00:00+00:00,23.6,14.14285659790039
